job_title,company_name,job_location,work_place,salary_range,skill,more_detail_link,job_id,work_type,workplace,years_experience,min_education,category,sub_category,role,scrapped_date
Frontend Programmer,PT. Intala Insan Cendekia,"Cilandak, Jakarta Selatan, DKI Jakarta",Kerja di kantor,"Rp4jt-Rp5,5jt","experience,salary,logo,JavaScript,Figma,HTML5,TailwindCSS,UI Design,PHP,Vue.js",https://glints.com/id/opportunities/jobs/frontend-programmer/1458cff5-405f-4cd9-98be-d294a419c9b1?utm_referrer=explore,1458cff5-405f-4cd9-98be-d294a419c9b1,full_time,Kerja di kantor,Kurang dari setahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Frontend Developer,The Digital Cellar,"Menteng, Jakarta Pusat, DKI Jakarta",Remote/Dari rumah,Not Written,"experience,logo,React.js,Next.js.,Frontend Development,JavaScript",https://glints.com/id/opportunities/jobs/frontend-developer/26ce67ef-0694-4521-a301-e62568b05d70?utm_referrer=explore,26ce67ef-0694-4521-a301-e62568b05d70,full_time,Remote/Dari rumah,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Frontend Developer,PT Uri Teknologi Indonesia,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Python,SQL,React.js,HTML5,CSS3",https://glints.com/id/opportunities/jobs/frontend-developer/009d84cd-53d0-4adb-b525-a75a3b9d6f93?utm_referrer=explore,009d84cd-53d0-4adb-b525-a75a3b9d6f93,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Frontend Engineer,Sagara Technology,"Makasar, Jakarta Timur, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Responsive Web Design,React.js,REST API,Vue.js,Angular.js",https://glints.com/id/opportunities/jobs/frontend-engineer/6700f3cd-75f5-40f8-bd2f-fb4e979a1e4b?utm_referrer=explore,6700f3cd-75f5-40f8-bd2f-fb4e979a1e4b,contract,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Frontend Engineer,Simpul Technologies,"Sukolilo, Surabaya, Jawa Timur",Remote/Dari rumah,"Rp5,5jt-Rp8jt","experience,salary,logo,JavaScript,Ruby on Rails,Python",https://glints.com/id/opportunities/jobs/frontend-engineer/5d328484-3a59-4c20-b64c-083c3802de53?utm_referrer=explore,5d328484-3a59-4c20-b64c-083c3802de53,full_time,Remote/Dari rumah,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Frontend Developer,PT Lumos Inisiatif Indonesia,"Kebon Jeruk, Jakarta Barat, DKI Jakarta",Kerja di kantor,Rp5jt-Rp7jt,"experience,salary,logo,React.js,Nextjs,TypeScript",https://glints.com/id/opportunities/jobs/frontend-developer/3cb35f09-45ea-4f15-bbab-ce7ddee3b981?utm_referrer=explore,3cb35f09-45ea-4f15-bbab-ce7ddee3b981,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Frontend Engineer,Adi Data Informatika,"Kebon Jeruk, Jakarta Barat, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,HTML5,JavaScript,Angular.js",https://glints.com/id/opportunities/jobs/frontend-engineer/7ed1576b-842e-43a1-9985-52bfce504c02?utm_referrer=explore,7ed1576b-842e-43a1-9985-52bfce504c02,contract,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Frontend Developer,PT Lanius Inovasi Indonesia,"Lowokwaru, Malang, Jawa Timur",Kerja di kantor,Not Written,"experience,logo,React.js,JavaScript,Next.js",https://glints.com/id/opportunities/jobs/frontend-developer/cdc59126-ad87-45ea-b88e-dfb9b729bcb6?utm_referrer=explore,cdc59126-ad87-45ea-b88e-dfb9b729bcb6,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Software,Software Developer,2024-04-26
Frontend Engineer,Mediatics Digital Indonesia,"Mampang Prapatan, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Software Engineering,Vue.js,Communication Skills,Version Control,Frontend Development",https://glints.com/id/opportunities/jobs/frontend-engineer/db686426-0f73-41d0-b176-ecea49232c9b?utm_referrer=explore,db686426-0f73-41d0-b176-ecea49232c9b,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Frontend Engineer,Mari Works Solution,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Rp6jt-Rp10jt,"experience,salary,logo,Kotlin,Vue.js,Communication Skills,GIT",https://glints.com/id/opportunities/jobs/frontend-engineer/fbef659c-8550-4619-af81-a3c91e8faa0c?utm_referrer=explore,fbef659c-8550-4619-af81-a3c91e8faa0c,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Frontend Developer,Tada,"Setiabudi, Jakarta Selatan, DKI Jakarta",Remote/Dari rumah,Not Written,"experience,logo,Nuxt.js,Frontend Development,Vue.js",https://glints.com/id/opportunities/jobs/frontend-developer/a791ad4f-ac9a-4b08-82e2-1df08a8feb79?utm_referrer=explore,a791ad4f-ac9a-4b08-82e2-1df08a8feb79,full_time,Remote/Dari rumah,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Frontend Developer,PT. Bank Multiarta Sentosa Tbk. (Bank MAS),"Setiabudi, Jakarta Selatan, DKI Jakarta",Remote/Dari rumah,Not Written,"experience,logo,TypeScript,HTML5,Angular.js",https://glints.com/id/opportunities/jobs/frontend-developer/60079f78-1a6c-42ae-9dc0-6ef1dfd26517?utm_referrer=explore,60079f78-1a6c-42ae-9dc0-6ef1dfd26517,full_time,Remote/Dari rumah,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Frontend Developer,PT Global Indonesia Asia Sejahtera (GIAS Group),"Pademangan, Jakarta Utara, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Vue.js,PHP,Laravel",https://glints.com/id/opportunities/jobs/frontend-developer/2c92664b-f0a5-4e5b-bc08-60bfe711d8e0?utm_referrer=explore,2c92664b-f0a5-4e5b-bc08-60bfe711d8e0,full_time,Kerja di kantor,Kurang dari setahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Frontend Engineer,Abishar Technologies,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Rp8jt-Rp16jt,"experience,salary,logo,Frontend Development,React.js,Web Development",https://glints.com/id/opportunities/jobs/frontend-engineer/415411d9-df65-4db4-9991-566b1c20ad12?utm_referrer=explore,415411d9-df65-4db4-9991-566b1c20ad12,full_time,Kerja di kantor,3 – 5 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Frontend Engineer,Pt. Asia Pelangi Remiten,"Jagakarsa, Jakarta Selatan, DKI Jakarta",Kerja di kantor,"Rp4,6jt-Rp7jt","experience,salary,logo,Critical Thinking,Problem Solving Skills,Communication Skills,Flutter",https://glints.com/id/opportunities/jobs/frontend-engineer/716294eb-37ea-4a13-a3b5-cf3c06bebefe?utm_referrer=explore,716294eb-37ea-4a13-a3b5-cf3c06bebefe,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Frontend Developer,PT Pasti Makmur Abadi,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Angular.js,Bootstrap,React.js,Vue.js",https://glints.com/id/opportunities/jobs/frontend-developer/51d3ba25-7e2e-4816-ad76-0de0523cb5cc?utm_referrer=explore,51d3ba25-7e2e-4816-ad76-0de0523cb5cc,contract,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Frontend Developer,Total IT,"Cilandak, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Rp4jt-Rp7jt,"experience,salary,logo,CSS3,REST API,Vue.js,HTML5,JavaScript",https://glints.com/id/opportunities/jobs/frontend-developer/7c295a67-80f6-49cc-be07-696e52e23dee?utm_referrer=explore,7c295a67-80f6-49cc-be07-696e52e23dee,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Software,Web Developer,2024-04-26
Frontend Engineer,HomLen,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Kotlin,Frontend Development,Programming Languages",https://glints.com/id/opportunities/jobs/frontend-engineer/60acafad-57a3-423b-b5d5-e229350347fc?utm_referrer=explore,60acafad-57a3-423b-b5d5-e229350347fc,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Frontend Developer,PT. Harapan Energie Indonesia,"Serpong Utara, Tangerang Selatan, Banten",Kerja di kantor,Rp5jt-Rp8jt,"experience,salary,logo,Node.js,Amazon Web Services (AWS),Web Development,Angular.js,Mobile App Development,Mobile UI Design,Responsive Web Design,Software Development,AWS Lambda",https://glints.com/id/opportunities/jobs/frontend-developer/47a45cd6-c8fc-448f-8bac-628a069b36cf?utm_referrer=explore,47a45cd6-c8fc-448f-8bac-628a069b36cf,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Software,Computer Programmer,2024-04-26
